Category,Diagnosis,Symptoms
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Fatigue, Fever, Shortness of breath, Wheezing"
Musculoskeletal,Tibial/Fibular Fracture,"Body aches, Bruising, Dizziness, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Urological,Kidney Stone,"Body aches, Chills, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Infectious,Influenza (Flu),"Body aches, Dizziness, Dry cough, Fatigue, High fever, Runny nose, Sore throat"
Infectious,Pneumonia,"Body aches, Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever"
Chronic,Hypertension,"Body aches, Dizziness, Headaches, Nosebleeds, Often asymptomatic, Shortness of breath"
Infectious,Strep Throat,"Body aches, Fever, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Infectious,COVID-19,"Dizziness, Dry cough, Fatigue, Fever, Headache, Loss of appetite, Loss of taste or smell, Shortness of breath"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Headache, Inability to bear weight, Swelling, Tenderness to touch"
Allergy,Allergic Rhinitis (Hay Fever),"Itchy, watery eyes, Malaise, Nasal congestion, Runny nose, Sneezing"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Fever, Nausea, Stomach cramps, Vomiting"
Chronic,Hypertension,"Chills, Dizziness, Headaches, Loss of appetite, Nosebleeds, Often asymptomatic, Shortness of breath"
Infectious,COVID-19,"Body aches, Dry cough, Fatigue, Fever, Loss of appetite, Loss of taste or smell, Shortness of breath"
Infectious,Strep Throat,"Fatigue, Fever, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Malaise, Swollen joints"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fatigue, Fever"
Infectious,Influenza (Flu),"Body aches, Chills, Dry cough, Fatigue, High fever, Runny nose, Sore throat, Weakness"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Fatigue, Fever, Frequent urination, Increased hunger, Slow-healing sores, Unexplained weight loss, Weakness"
Infectious,Strep Throat,"Fever, Nausea, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, Weakness, White patches on tonsils"
Chronic,Hypertension,"Body aches, Chills, Dizziness, Headaches, Nosebleeds, Often asymptomatic, Shortness of breath"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Fever, Frequent urination, Pain or burning on urination, Pelvic pain"
Infectious,COVID-19,"Chills, Dry cough, Fatigue, Fever, Loss of taste or smell, Nausea, Shortness of breath, Weakness"
Neurological,Migraine,"Body aches, Fever, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Chronic,Type 2 Diabetes,"Blurry vision, Body aches, Excessive thirst, Fever, Frequent urination, Increased hunger, Slow-healing sores, Unexplained weight loss"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Fever, Inability to bear weight, Nausea, Severe leg pain, Swelling, Visible deformity"
Infectious,Gastroenteritis (Stomach Flu),"Chills, Diarrhea, Fatigue, Loss of appetite, Nausea, Stomach cramps, Vomiting"
Chronic,Hypertension,"Dizziness, Fever, Headaches, Loss of appetite, Nosebleeds, Often asymptomatic, Shortness of breath, Weakness"
Infectious,COVID-19,"Body aches, Dry cough, Fatigue, Fever, Loss of taste or smell, Nausea, Shortness of breath"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Fatigue, Frequent urination, Pain or burning on urination, Pelvic pain, Weakness"
Infectious,Pneumonia,"Body aches, Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fatigue, Fever"
Infectious,COVID-19,"Body aches, Dry cough, Fatigue, Fever, Loss of taste or smell, Shortness of breath"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Fatigue, Loss of appetite, Nausea, Stomach cramps, Vomiting"
Chronic,Asthma,"Chest tightness, Chills, Coughing (especially at night), Headache, Malaise, Shortness of breath, Wheezing"
Infectious,Influenza (Flu),"Body aches, Chills, Dry cough, Headache, High fever, Nausea, Runny nose, Sore throat"
Acute/Surgical,Appendicitis,"Abdominal swelling, Dizziness, Fever, Headache, Loss of appetite, Malaise, Nausea, Pain in lower right abdomen, Vomiting"
Infectious,Influenza (Flu),"Body aches, Dizziness, Dry cough, Fatigue, High fever, Runny nose, Sore throat"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Frequent urination, Pain or burning on urination, Pelvic pain, Weakness"
Infectious,Strep Throat,"Dizziness, Fever, Loss of appetite, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Malaise, Nausea, Swollen joints"
Acute/Surgical,Appendicitis,"Abdominal swelling, Body aches, Chills, Dizziness, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Headache, Nausea, Stomach cramps, Vomiting"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fever, Loss of appetite, Malaise, Nausea, Pain in lower right abdomen, Vomiting"
Allergy,Allergic Rhinitis (Hay Fever),"Fatigue, Itchy, watery eyes, Nasal congestion, Nausea, Runny nose, Sneezing"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Headache"
Infectious,Strep Throat,"Dizziness, Fever, Headache, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Dizziness, Loss of appetite, Nausea, Stomach cramps, Vomiting"
Infectious,COVID-19,"Body aches, Chills, Dry cough, Fatigue, Fever, Loss of appetite, Loss of taste or smell, Shortness of breath"
Neurological,Migraine,"Headache, Malaise, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Infectious,Strep Throat,"Fatigue, Fever, Malaise, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, Weakness, White patches on tonsils"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Headache, Loss of taste or smell, Shortness of breath"
Infectious,Strep Throat,"Fever, Nausea, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, Weakness, White patches on tonsils"
Allergy,Allergic Rhinitis (Hay Fever),"Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing, Weakness"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Dizziness, Headache, Inability to bear weight, Swelling, Tenderness to touch"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Musculoskeletal,Rheumatoid Arthritis,"Body aches, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Nausea, Swollen joints"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Headache, Shortness of breath, Wheezing"
Allergy,Allergic Rhinitis (Hay Fever),"Dizziness, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Fatigue, Nausea, Shortness of breath, Wheezing"
Neurological,Migraine,"Chills, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Urological,Kidney Stone,"Fatigue, Loss of appetite, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Infectious,Influenza (Flu),"Body aches, Dry cough, High fever, Loss of appetite, Runny nose, Sore throat"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Fatigue, Frequent urination, Increased hunger, Slow-healing sores, Unexplained weight loss"
Urological,Kidney Stone,"Malaise, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fatigue, Fever, Malaise"
Infectious,COVID-19,"Dizziness, Dry cough, Fatigue, Fever, Loss of taste or smell, Shortness of breath"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Dizziness, Fever"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Headache, Shortness of breath, Wheezing"
Musculoskeletal,Rheumatoid Arthritis,"Chills, Fatigue, Fever, Headache, Joint pain, Joint stiffness (worse in morning), Loss of appetite, Swollen joints"
Chronic,Type 2 Diabetes,"Blurry vision, Chills, Excessive thirst, Frequent urination, Increased hunger, Nausea, Slow-healing sores, Unexplained weight loss"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Dizziness, Fever, Inability to bear weight, Nausea, Severe leg pain, Swelling, Visible deformity"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fatigue, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Chronic,Asthma,"Body aches, Chest tightness, Coughing (especially at night), Dizziness, Shortness of breath, Wheezing"
Infectious,Urinary Tract Infection (UTI),"Chills, Cloudy or strong-smelling urine, Frequent urination, Headache, Pain or burning on urination, Pelvic pain, Weakness"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Chills, Inability to bear weight, Loss of appetite, Swelling, Tenderness to touch"
Infectious,Strep Throat,"Fatigue, Fever, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, Weakness, White patches on tonsils"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Fever, Frequent urination, Loss of appetite, Pain or burning on urination, Pelvic pain"
Musculoskeletal,Tibial/Fibular Fracture,"Body aches, Bruising, Headache, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Infectious,COVID-19,"Body aches, Dry cough, Fatigue, Fever, Loss of taste or smell, Malaise, Shortness of breath"
Urological,Kidney Stone,"Fever, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Malaise, Shortness of breath, Wheezing"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Inability to bear weight, Loss of appetite, Swelling, Tenderness to touch"
Infectious,COVID-19,"Chills, Dizziness, Dry cough, Fatigue, Fever, Loss of taste or smell, Shortness of breath, Weakness"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Headache, Loss of taste or smell, Shortness of breath"
Allergy,Allergic Rhinitis (Hay Fever),"Fever, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Infectious,COVID-19,"Chills, Dry cough, Fatigue, Fever, Loss of taste or smell, Shortness of breath"
Infectious,Strep Throat,"Fever, Malaise, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, Weakness, White patches on tonsils"
Musculoskeletal,Ankle Sprain,"Ankle pain, Body aches, Bruising, Headache, Inability to bear weight, Swelling, Tenderness to touch"
Chronic,Type 2 Diabetes,"Blurry vision, Dizziness, Excessive thirst, Frequent urination, Increased hunger, Slow-healing sores, Unexplained weight loss, Weakness"
Allergy,Allergic Rhinitis (Hay Fever),"Itchy, watery eyes, Loss of appetite, Nasal congestion, Runny nose, Sneezing"
Chronic,Hypertension,"Dizziness, Fatigue, Headaches, Loss of appetite, Nausea, Nosebleeds, Often asymptomatic, Shortness of breath"
Acute/Surgical,Appendicitis,"Abdominal swelling, Body aches, Dizziness, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Chills, Fever, Headache, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Chronic,Asthma,"Body aches, Chest tightness, Coughing (especially at night), Shortness of breath, Wheezing"
Neurological,Migraine,"Dizziness, Fever, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Urological,Kidney Stone,"Chills, Malaise, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Fatigue, Nausea, Stomach cramps, Vomiting"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Inability to bear weight, Loss of appetite, Swelling, Tenderness to touch"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Headache, Loss of taste or smell, Shortness of breath"
Neurological,Migraine,"Body aches, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Infectious,Strep Throat,"Fever, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, Weakness, White patches on tonsils"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Loss of taste or smell, Nausea, Shortness of breath"
Allergy,Allergic Rhinitis (Hay Fever),"Dizziness, Fever, Headache, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Frequent urination, Pain or burning on urination, Pelvic pain, Weakness"
Chronic,Hypertension,"Dizziness, Fever, Headaches, Malaise, Nosebleeds, Often asymptomatic, Shortness of breath"
Neurological,Migraine,"Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Headache, Loss of appetite"
Infectious,Pneumonia,"Body aches, Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Malaise"
Infectious,Urinary Tract Infection (UTI),"Body aches, Cloudy or strong-smelling urine, Fatigue, Frequent urination, Loss of appetite, Pain or burning on urination, Pelvic pain"
Musculoskeletal,Rheumatoid Arthritis,"Body aches, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Chronic,Hypertension,"Body aches, Chills, Dizziness, Headaches, Nausea, Nosebleeds, Often asymptomatic, Shortness of breath"
Infectious,COVID-19,"Chills, Dry cough, Fatigue, Fever, Loss of taste or smell, Shortness of breath"
Infectious,Strep Throat,"Fever, Headache, Loss of appetite, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Urological,Kidney Stone,"Fatigue, Headache, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fever, Loss of appetite, Malaise, Nausea, Pain in lower right abdomen, Vomiting, Weakness"
Musculoskeletal,Rheumatoid Arthritis,"Body aches, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Loss of appetite, Swollen joints, Weakness"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Frequent urination, Loss of appetite, Pain or burning on urination, Pelvic pain"
Infectious,Strep Throat,"Fever, Malaise, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Acute/Surgical,Appendicitis,"Abdominal swelling, Body aches, Fatigue, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting, Weakness"
Allergy,Allergic Rhinitis (Hay Fever),"Body aches, Chills, Fever, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Malaise"
Urological,Kidney Stone,"Malaise, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Frequent urination, Headache, Increased hunger, Slow-healing sores, Unexplained weight loss"
Acute/Surgical,Appendicitis,"Abdominal swelling, Chills, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Inability to bear weight, Loss of appetite, Swelling, Tenderness to touch"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Headache, Nausea, Stomach cramps, Vomiting"
Infectious,Urinary Tract Infection (UTI),"Chills, Cloudy or strong-smelling urine, Fever, Frequent urination, Pain or burning on urination, Pelvic pain"
Infectious,Influenza (Flu),"Body aches, Dry cough, High fever, Loss of appetite, Malaise, Runny nose, Sore throat"
Chronic,Asthma,"Chest tightness, Chills, Coughing (especially at night), Dizziness, Headache, Shortness of breath, Wheezing"
Chronic,Hypertension,"Dizziness, Fatigue, Headaches, Nosebleeds, Often asymptomatic, Shortness of breath"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Inability to bear weight, Loss of appetite, Swelling, Tenderness to touch"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fever, Headache, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Urological,Kidney Stone,"Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back, Weakness"
Infectious,Strep Throat,"Fever, Malaise, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, Weakness, White patches on tonsils"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Frequent urination, Increased hunger, Loss of appetite, Malaise, Nausea, Slow-healing sores, Unexplained weight loss"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Loss of appetite, Nausea, Stomach cramps, Vomiting, Weakness"
Allergy,Allergic Rhinitis (Hay Fever),"Itchy, watery eyes, Malaise, Nasal congestion, Runny nose, Sneezing"
Infectious,Influenza (Flu),"Body aches, Dizziness, Dry cough, High fever, Runny nose, Sore throat"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Headache, Loss of appetite, Nausea, Stomach cramps, Vomiting"
Infectious,Gastroenteritis (Stomach Flu),"Chills, Diarrhea, Nausea, Stomach cramps, Vomiting"
Infectious,Influenza (Flu),"Body aches, Dry cough, High fever, Malaise, Runny nose, Sore throat"
Neurological,Migraine,"Chills, Malaise, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Allergy,Allergic Rhinitis (Hay Fever),"Fever, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Infectious,Strep Throat,"Fever, Headache, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Infectious,Influenza (Flu),"Body aches, Chills, Dry cough, High fever, Runny nose, Sore throat"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Loss of appetite, Shortness of breath, Wheezing"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Frequent urination, Headache, Increased hunger, Slow-healing sores, Unexplained weight loss, Weakness"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Dizziness, Fever, Frequent urination, Headache, Pain or burning on urination, Pelvic pain"
Urological,Kidney Stone,"Headache, Malaise, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Acute/Surgical,Appendicitis,"Abdominal swelling, Chills, Fever, Headache, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Chronic,Hypertension,"Dizziness, Headaches, Loss of appetite, Nosebleeds, Often asymptomatic, Shortness of breath"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Fever, Loss of appetite, Nausea, Stomach cramps, Vomiting"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Chills, Inability to bear weight, Loss of appetite, Malaise, Swelling, Tenderness to touch"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Headache, Loss of appetite, Shortness of breath, Wheezing"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Dizziness, Fever, Loss of appetite"
Musculoskeletal,Tibial/Fibular Fracture,"Body aches, Bruising, Inability to bear weight, Loss of appetite, Severe leg pain, Swelling, Visible deformity"
Infectious,Pneumonia,"Body aches, Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fatigue, Fever"
Urological,Kidney Stone,"Dizziness, Malaise, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Fatigue, Malaise, Nausea, Stomach cramps, Vomiting"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever"
Chronic,Hypertension,"Body aches, Dizziness, Headaches, Nausea, Nosebleeds, Often asymptomatic, Shortness of breath, Weakness"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fatigue, Fever, Headache, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Fatigue, Shortness of breath, Wheezing"
Infectious,Urinary Tract Infection (UTI),"Chills, Cloudy or strong-smelling urine, Fever, Frequent urination, Pain or burning on urination, Pelvic pain, Weakness"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Weakness"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Nausea, Shortness of breath, Wheezing"
Infectious,Strep Throat,"Fatigue, Fever, Headache, Loss of appetite, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Infectious,Influenza (Flu),"Body aches, Dry cough, Fever, High fever, Nausea, Runny nose, Sore throat"
Musculoskeletal,Rheumatoid Arthritis,"Dizziness, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Loss of appetite, Swollen joints"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Loss of taste or smell, Nausea, Shortness of breath"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Frequent urination, Malaise, Pain or burning on urination, Pelvic pain"
Musculoskeletal,Rheumatoid Arthritis,"Dizziness, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Nausea, Swollen joints"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Fatigue, Fever, Inability to bear weight, Swelling, Tenderness to touch"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Dizziness, Frequent urination, Pain or burning on urination, Pelvic pain, Weakness"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Loss of appetite"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Dizziness, Inability to bear weight, Swelling, Tenderness to touch"
Allergy,Allergic Rhinitis (Hay Fever),"Dizziness, Fever, Itchy, watery eyes, Loss of appetite, Nasal congestion, Runny nose, Sneezing"
Allergy,Allergic Rhinitis (Hay Fever),"Headache, Itchy, watery eyes, Malaise, Nasal congestion, Runny nose, Sneezing, Weakness"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Nausea, Shortness of breath, Wheezing"
Chronic,Asthma,"Chest tightness, Chills, Coughing (especially at night), Malaise, Shortness of breath, Weakness, Wheezing"
Urological,Kidney Stone,"Dizziness, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back, Weakness"
Infectious,Influenza (Flu),"Body aches, Dizziness, Dry cough, High fever, Runny nose, Sore throat"
Infectious,COVID-19,"Body aches, Dry cough, Fatigue, Fever, Loss of taste or smell, Nausea, Shortness of breath"
Acute/Surgical,Appendicitis,"Abdominal swelling, Dizziness, Fever, Loss of appetite, Malaise, Nausea, Pain in lower right abdomen, Vomiting"
Infectious,Strep Throat,"Fever, Loss of appetite, Malaise, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Chronic,Type 2 Diabetes,"Blurry vision, Dizziness, Excessive thirst, Frequent urination, Increased hunger, Slow-healing sores, Unexplained weight loss"
Infectious,COVID-19,"Body aches, Dry cough, Fatigue, Fever, Loss of appetite, Loss of taste or smell, Shortness of breath"
Infectious,Influenza (Flu),"Body aches, Dizziness, Dry cough, Fever, High fever, Runny nose, Sore throat, Weakness"
Infectious,Pneumonia,"Body aches, Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Malaise"
Allergy,Allergic Rhinitis (Hay Fever),"Chills, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing, Weakness"
Chronic,Hypertension,"Dizziness, Headaches, Nosebleeds, Often asymptomatic, Shortness of breath, Weakness"
Allergy,Allergic Rhinitis (Hay Fever),"Itchy, watery eyes, Malaise, Nasal congestion, Nausea, Runny nose, Sneezing, Weakness"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Dizziness, Fever, Malaise"
Infectious,Gastroenteritis (Stomach Flu),"Body aches, Chills, Diarrhea, Nausea, Stomach cramps, Vomiting"
Allergy,Allergic Rhinitis (Hay Fever),"Fever, Itchy, watery eyes, Loss of appetite, Nasal congestion, Nausea, Runny nose, Sneezing"
Infectious,Influenza (Flu),"Body aches, Dizziness, Dry cough, High fever, Loss of appetite, Runny nose, Sore throat"
Urological,Kidney Stone,"Dizziness, Malaise, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Fatigue, Frequent urination, Increased hunger, Loss of appetite, Slow-healing sores, Unexplained weight loss"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Dizziness, Loss of appetite, Nausea, Stomach cramps, Vomiting"
Urological,Kidney Stone,"Chills, Fever, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Musculoskeletal,Rheumatoid Arthritis,"Dizziness, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Nausea, Swollen joints"
Infectious,Influenza (Flu),"Body aches, Dry cough, Fever, Headache, High fever, Nausea, Runny nose, Sore throat"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Fever, Shortness of breath, Wheezing"
Infectious,Strep Throat,"Body aches, Chills, Fever, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Infectious,Strep Throat,"Chills, Fever, Headache, Nausea, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Chronic,Hypertension,"Body aches, Dizziness, Headaches, Malaise, Nosebleeds, Often asymptomatic, Shortness of breath, Weakness"
Allergy,Allergic Rhinitis (Hay Fever),"Fever, Headache, Itchy, watery eyes, Malaise, Nasal congestion, Runny nose, Sneezing"
Infectious,Pneumonia,"Body aches, Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fatigue, Fever, Malaise"
Infectious,Pneumonia,"Body aches, Chest pain, Chills, Cough with phlegm, Difficulty breathing, Dizziness, Fever"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Malaise"
Urological,Kidney Stone,"Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back, Weakness"
Chronic,Hypertension,"Dizziness, Fever, Headaches, Loss of appetite, Nosebleeds, Often asymptomatic, Shortness of breath"
Chronic,Hypertension,"Dizziness, Fever, Headaches, Malaise, Nosebleeds, Often asymptomatic, Shortness of breath"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Nausea, Shortness of breath, Wheezing"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Dizziness, Fatigue, Inability to bear weight, Malaise, Swelling, Tenderness to touch"
Urological,Kidney Stone,"Headache, Loss of appetite, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Chronic,Asthma,"Body aches, Chest tightness, Coughing (especially at night), Malaise, Shortness of breath, Wheezing"
Neurological,Migraine,"Fever, Malaise, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Neurological,Migraine,"Fever, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Infectious,Influenza (Flu),"Body aches, Chills, Dry cough, High fever, Runny nose, Sore throat"
