Disease,Symptoms
Bacterial Pneumonia,"chest pain, productive cough, shortness of breath, high fever"
Common Cold,"sore throat, sneezing, runny nose, cough"
Seasonal Flu,"high fever, headache, severe body aches, cough, chills"
Dehydration,"thirst, dizziness, fatigue, dry mouth"
Allergic Rhinitis,"sneezing, cough, runny nose, nasal congestion, itchy eyes, watery eyes"
Common Cold,"fatigue, mild headache, watery eyes, sneezing, cough, sore throat, runny nose"
Gastroenteritis,"low-grade fever, headache, vomiting, diarrhea, abdominal cramps, fatigue"
Allergic Rhinitis,"runny nose, itchy eyes, sneezing, cough, watery eyes"
Dehydration,"fatigue, dry mouth, dizziness"
Bacterial Pneumonia,"productive cough, shaking chills, high fever, shortness of breath"
Dehydration,"headache, fatigue, dry mouth, dizziness, thirst, dark urine"
Dehydration,"fatigue, dizziness, confusion, dry mouth"
Bacterial Pneumonia,"shaking chills, chest pain, high fever"
Allergic Rhinitis,"nasal congestion, watery eyes, runny nose, sore throat, itchy eyes"
Strep Throat,"pain when swallowing, body aches, stomach ache, rash, sudden sore throat, fever"
Dehydration,"thirst, fatigue, dizziness, dry mouth"
Strep Throat,"headache, pain when swallowing, sudden sore throat, tiny red spots on roof of mouth"
Strep Throat,"pain when swallowing, tiny red spots on roof of mouth, sudden sore throat, fever"
Strep Throat,"sudden sore throat, fever, tiny red spots on roof of mouth, pain when swallowing"
Common Cold,"mild headache, cough, sore throat, sneezing"
Bacterial Pneumonia,"sweating, high fever, productive cough, fatigue, chest pain, shaking chills, shortness of breath, confusion"
Tension Headache,"tightness across forehead, dull, aching head pain, shoulder pain, mild sensitivity to light, scalp tenderness"
Gastroenteritis,"diarrhea, vomiting, nausea, abdominal cramps, fatigue, low-grade fever, headache"
Allergic Rhinitis,"itchy eyes, watery eyes, sneezing"
Minor Sprain/Strain,"tenderness, cramping, localized pain, limited range of motion"
Common Cold,"runny nose, sneezing, low fever, mild headache, cough"
Gastroenteritis,"diarrhea, loss of appetite, nausea, fatigue, abdominal cramps"
Dehydration,"confusion, dizziness, fatigue, dry mouth, thirst, dark urine, headache"
Strep Throat,"pain when swallowing, sudden sore throat, fever"
Bacterial Pneumonia,"nausea, shortness of breath, high fever, chest pain"
Common Cold,"runny nose, sore throat, sneezing, fatigue, cough"
Dehydration,"thirst, fatigue, confusion, infrequent urination, dry mouth"
Allergic Rhinitis,"mild headache, sneezing, runny nose, itchy eyes"
Dehydration,"dizziness, fatigue, headache, dry mouth, infrequent urination"
Seasonal Flu,"chills, nausea, severe body aches, fatigue, cough, headache"
Dehydration,"fatigue, dry mouth, dizziness, dark urine, thirst"
Gastroenteritis,"headache, abdominal cramps, low-grade fever, loss of appetite, vomiting, diarrhea"
Allergic Rhinitis,"mild headache, watery eyes, itchy eyes, cough, runny nose, sneezing"
Minor Sprain/Strain,"localized pain, tenderness, swelling"
Dehydration,"infrequent urination, confusion, fatigue, dizziness, dry mouth, thirst, dark urine"
Gastroenteritis,"vomiting, headache, abdominal cramps, diarrhea, nausea"
Minor Sprain/Strain,"limited range of motion, muscle stiffness, cramping, localized pain, tenderness"
Allergic Rhinitis,"watery eyes, sore throat, runny nose, sneezing, itchy eyes"
Migraine,"neck pain, nausea, vision changes, sensitivity to sound, vomiting, severe throbbing headache"
Migraine,"sensitivity to sound, severe throbbing headache, nausea, neck pain, sensitivity to light"
Gastroenteritis,"loss of appetite, vomiting, abdominal cramps, fatigue, low-grade fever, nausea, diarrhea"
Tension Headache,"tightness across forehead, scalp tenderness, dull, aching head pain"
Common Cold,"sneezing, cough, sore throat, low fever, runny nose, mild headache"
Tension Headache,"dull, aching head pain, neck stiffness, shoulder pain, scalp tenderness, tightness across forehead"
Seasonal Flu,"headache, chills, severe body aches, high fever, fatigue, cough, diarrhea"
Bacterial Pneumonia,"chest pain, shaking chills, high fever, productive cough, shortness of breath"
Strep Throat,"stomach ache, fever, sudden sore throat, rash, pain when swallowing, body aches"
Tension Headache,"mild sensitivity to light, neck stiffness, scalp tenderness, dull, aching head pain, tightness across forehead"
Allergic Rhinitis,"watery eyes, sneezing, runny nose, itchy eyes, mild headache"
Seasonal Flu,"cough, headache, high fever, chills"
Bacterial Pneumonia,"chest pain, shortness of breath, shaking chills, productive cough, nausea, high fever"
Tension Headache,"tightness across forehead, dull, aching head pain, neck stiffness, shoulder pain, scalp tenderness"
Minor Sprain/Strain,"bruising, swelling, localized pain, tenderness, cramping"
Strep Throat,"body aches, pain when swallowing, headache, rash, tiny red spots on roof of mouth, fever"
Strep Throat,"pain when swallowing, fever, stomach ache, headache, sudden sore throat"
Strep Throat,"tiny red spots on roof of mouth, sudden sore throat, pain when swallowing, rash, headache, fever"
Tension Headache,"dull, aching head pain, shoulder pain, scalp tenderness, tightness across forehead"
Allergic Rhinitis,"mild headache, watery eyes, itchy eyes, nasal congestion, sneezing"
Allergic Rhinitis,"watery eyes, runny nose, sneezing, itchy eyes"
Minor Sprain/Strain,"limited range of motion, localized pain, bruising, swelling, cramping"
Bacterial Pneumonia,"shaking chills, shortness of breath, productive cough, fatigue, chest pain, high fever, sweating, nausea"
Strep Throat,"body aches, pain when swallowing, sudden sore throat, fever"
Common Cold,"runny nose, mild headache, low fever, cough, sore throat"
Gastroenteritis,"diarrhea, vomiting, low-grade fever, abdominal cramps"
Gastroenteritis,"loss of appetite, abdominal cramps, nausea, diarrhea"
Bacterial Pneumonia,"chest pain, sweating, fatigue, shaking chills, high fever, productive cough"
Dehydration,"dry mouth, headache, infrequent urination, thirst, confusion, fatigue"
Bacterial Pneumonia,"fatigue, confusion, shaking chills, high fever, chest pain, productive cough"
Common Cold,"cough, watery eyes, sore throat, sneezing, mild headache, runny nose"
Allergic Rhinitis,"runny nose, watery eyes, mild headache, sneezing, itchy eyes, cough"
Allergic Rhinitis,"itchy eyes, runny nose, watery eyes, sneezing"
Allergic Rhinitis,"itchy eyes, cough, sneezing, watery eyes"
Gastroenteritis,"vomiting, headache, abdominal cramps, low-grade fever, diarrhea, fatigue"
Minor Sprain/Strain,"cramping, localized pain, swelling, limited range of motion"
Tension Headache,"tightness across forehead, scalp tenderness, dull, aching head pain, neck stiffness, shoulder pain"
Strep Throat,"tiny red spots on roof of mouth, sudden sore throat, pain when swallowing, headache, stomach ache, body aches"
Seasonal Flu,"high fever, sore throat, diarrhea, chills, severe body aches, headache"
Minor Sprain/Strain,"muscle stiffness, swelling, limited range of motion, tenderness"
Seasonal Flu,"fatigue, high fever, sore throat, chills, cough, headache"
Migraine,"sensitivity to sound, sensitivity to light, severe throbbing headache, nausea"
Migraine,"sensitivity to light, sensitivity to sound, severe throbbing headache"
Strep Throat,"fever, tiny red spots on roof of mouth, sudden sore throat, pain when swallowing"
Bacterial Pneumonia,"productive cough, high fever, fatigue, shaking chills, sweating, chest pain, confusion, shortness of breath"
Strep Throat,"pain when swallowing, sudden sore throat, rash, tiny red spots on roof of mouth, fever"
Allergic Rhinitis,"runny nose, mild headache, nasal congestion, sneezing, watery eyes, sore throat, itchy eyes"
Dehydration,"dizziness, dark urine, thirst, fatigue, dry mouth"
Allergic Rhinitis,"cough, sneezing, runny nose, itchy eyes, watery eyes"
Allergic Rhinitis,"sore throat, sneezing, itchy eyes, runny nose, watery eyes"
Dehydration,"fatigue, dizziness, thirst"
Common Cold,"sneezing, sore throat, cough, watery eyes, low fever, mild headache"
Migraine,"sensitivity to sound, neck pain, severe throbbing headache, sensitivity to light"
Tension Headache,"tightness across forehead, mild sensitivity to light, scalp tenderness, shoulder pain, dull, aching head pain, neck stiffness"
Allergic Rhinitis,"runny nose, watery eyes, itchy eyes, sneezing"
Bacterial Pneumonia,"confusion, sweating, high fever, shaking chills, fatigue, productive cough"
Common Cold,"sore throat, runny nose, sneezing, fatigue, watery eyes, mild headache, cough"
Migraine,"nausea, sensitivity to light, severe throbbing headache, sensitivity to sound"
Seasonal Flu,"chills, high fever, fatigue"
Strep Throat,"sudden sore throat, tiny red spots on roof of mouth, pain when swallowing, rash, headache, fever, body aches"
Minor Sprain/Strain,"muscle stiffness, limited range of motion, swelling, cramping, bruising, localized pain"
Common Cold,"sneezing, mild headache, runny nose, sore throat"
Dehydration,"thirst, dizziness, confusion, dry mouth"
Common Cold,"watery eyes, sneezing, mild headache, sore throat, runny nose, low fever, cough"
Strep Throat,"body aches, fever, headache, pain when swallowing, tiny red spots on roof of mouth, sudden sore throat, rash"
Strep Throat,"fever, stomach ache, tiny red spots on roof of mouth, pain when swallowing, headache, sudden sore throat"
Allergic Rhinitis,"itchy eyes, sneezing, runny nose, nasal congestion"
Bacterial Pneumonia,"shaking chills, confusion, high fever, chest pain, nausea, shortness of breath, fatigue, productive cough"
Tension Headache,"shoulder pain, tightness across forehead, scalp tenderness, dull, aching head pain, mild sensitivity to light"
Common Cold,"sore throat, cough, runny nose"
Seasonal Flu,"severe body aches, headache, sore throat, fatigue, chills, high fever"
Dehydration,"fatigue, dizziness, infrequent urination, dry mouth, thirst, confusion"
Allergic Rhinitis,"itchy eyes, runny nose, sneezing"
Minor Sprain/Strain,"bruising, localized pain, tenderness, limited range of motion"
Dehydration,"thirst, confusion, fatigue, dry mouth, infrequent urination, headache, dizziness"
Migraine,"nausea, sensitivity to sound, severe throbbing headache, sensitivity to light"
Strep Throat,"tiny red spots on roof of mouth, stomach ache, sudden sore throat, body aches, fever, rash, pain when swallowing"
Minor Sprain/Strain,"localized pain, limited range of motion, bruising, muscle stiffness, swelling"
Seasonal Flu,"chills, headache, severe body aches, high fever"
Common Cold,"sneezing, runny nose, cough, sore throat"
Migraine,"severe throbbing headache, vomiting, sensitivity to sound, nausea"
Gastroenteritis,"diarrhea, loss of appetite, nausea, vomiting, abdominal cramps"
Strep Throat,"pain when swallowing, headache, tiny red spots on roof of mouth, sudden sore throat, fever"
Common Cold,"sneezing, low fever, runny nose, cough, mild headache, watery eyes"
Dehydration,"dry mouth, thirst, dizziness"
Tension Headache,"tightness across forehead, dull, aching head pain, scalp tenderness"
Common Cold,"sore throat, watery eyes, sneezing, cough, fatigue, mild headache"
Bacterial Pneumonia,"sweating, shaking chills, nausea, shortness of breath, fatigue, chest pain, high fever, productive cough"
Allergic Rhinitis,"sneezing, runny nose, itchy eyes, watery eyes, nasal congestion"
Strep Throat,"body aches, fever, sudden sore throat, headache, rash, tiny red spots on roof of mouth"
Seasonal Flu,"headache, chills, fatigue, severe body aches, high fever"
Dehydration,"dizziness, thirst, fatigue, dry mouth"
Allergic Rhinitis,"watery eyes, runny nose, itchy eyes, sneezing"
Gastroenteritis,"fatigue, vomiting, nausea, diarrhea"
Minor Sprain/Strain,"limited range of motion, bruising, swelling, localized pain, muscle stiffness"
Allergic Rhinitis,"runny nose, sneezing, itchy eyes, watery eyes"
Strep Throat,"sudden sore throat, pain when swallowing, tiny red spots on roof of mouth"
Bacterial Pneumonia,"shaking chills, confusion, high fever, chest pain, productive cough"
Common Cold,"watery eyes, runny nose, cough, sore throat, sneezing, fatigue, mild headache"
Dehydration,"thirst, dizziness, fatigue, dry mouth"
Minor Sprain/Strain,"localized pain, swelling, bruising, limited range of motion"
Allergic Rhinitis,"runny nose, sneezing, cough, mild headache, itchy eyes"
Allergic Rhinitis,"watery eyes, sneezing, itchy eyes, runny nose, mild headache, nasal congestion, sore throat"
Allergic Rhinitis,"itchy eyes, runny nose, sore throat, watery eyes, sneezing"
Minor Sprain/Strain,"swelling, bruising, muscle stiffness, localized pain, cramping, tenderness"
Strep Throat,"rash, stomach ache, fever, pain when swallowing, tiny red spots on roof of mouth"
Strep Throat,"pain when swallowing, rash, headache, fever, sudden sore throat, tiny red spots on roof of mouth, stomach ache"
Minor Sprain/Strain,"tenderness, localized pain, bruising, muscle stiffness, limited range of motion, swelling, cramping"
Gastroenteritis,"abdominal cramps, vomiting, diarrhea, nausea"
Migraine,"sensitivity to light, sensitivity to sound, nausea, vomiting, severe throbbing headache, neck pain, aura"
Dehydration,"fatigue, dizziness, dark urine, thirst, dry mouth"
Strep Throat,"tiny red spots on roof of mouth, fever, headache, sudden sore throat, pain when swallowing"
Seasonal Flu,"fatigue, high fever, headache, diarrhea, chills, cough"
Gastroenteritis,"diarrhea, nausea, abdominal cramps, vomiting"
Dehydration,"dry mouth, thirst, dizziness"
Gastroenteritis,"vomiting, nausea, diarrhea, headache, abdominal cramps, low-grade fever"
Gastroenteritis,"abdominal cramps, nausea, vomiting, diarrhea"
Seasonal Flu,"high fever, chills, cough, headache, diarrhea"
Minor Sprain/Strain,"limited range of motion, swelling, cramping, localized pain, bruising, tenderness, muscle stiffness"
Minor Sprain/Strain,"tenderness, swelling, muscle stiffness, bruising, limited range of motion, localized pain, cramping"
Gastroenteritis,"nausea, loss of appetite, headache, diarrhea, abdominal cramps, fatigue"
Tension Headache,"shoulder pain, scalp tenderness, tightness across forehead, dull, aching head pain"
Gastroenteritis,"nausea, diarrhea, abdominal cramps, headache, vomiting"
Migraine,"sensitivity to light, neck pain, sensitivity to sound, nausea"
Migraine,"nausea, vomiting, neck pain, sensitivity to sound, sensitivity to light"
Minor Sprain/Strain,"limited range of motion, cramping, swelling, tenderness"
Strep Throat,"pain when swallowing, fever, tiny red spots on roof of mouth"
Gastroenteritis,"vomiting, nausea, fatigue, abdominal cramps, diarrhea"
Gastroenteritis,"fatigue, diarrhea, headache, nausea, loss of appetite, abdominal cramps, vomiting"
Seasonal Flu,"nausea, cough, high fever, chills, headache"
Minor Sprain/Strain,"limited range of motion, tenderness, swelling"
Dehydration,"thirst, fatigue, headache, dry mouth, dizziness"
Tension Headache,"dull, aching head pain, scalp tenderness, tightness across forehead"
Common Cold,"runny nose, sore throat, cough, sneezing"
Tension Headache,"scalp tenderness, dull, aching head pain, shoulder pain, tightness across forehead"
Tension Headache,"dull, aching head pain, shoulder pain, scalp tenderness, neck stiffness, tightness across forehead"
Allergic Rhinitis,"sneezing, sore throat, itchy eyes, mild headache, runny nose, watery eyes"
Allergic Rhinitis,"watery eyes, itchy eyes, runny nose, sneezing"
Common Cold,"runny nose, cough, watery eyes, sore throat, sneezing"
Strep Throat,"fever, tiny red spots on roof of mouth, rash, sudden sore throat, body aches, stomach ache"
Migraine,"vomiting, aura, neck pain, nausea, sensitivity to light, sensitivity to sound"
Allergic Rhinitis,"sneezing, itchy eyes, watery eyes, runny nose"
Strep Throat,"fever, pain when swallowing, body aches, sudden sore throat"
Allergic Rhinitis,"itchy eyes, runny nose, watery eyes"
Strep Throat,"sudden sore throat, rash, fever, stomach ache, body aches, tiny red spots on roof of mouth"
Tension Headache,"scalp tenderness, tightness across forehead, dull, aching head pain, shoulder pain"
Dehydration,"fatigue, dizziness, confusion, thirst"
Gastroenteritis,"abdominal cramps, diarrhea, vomiting, nausea"
Allergic Rhinitis,"watery eyes, sneezing, mild headache, cough, itchy eyes, sore throat"
Common Cold,"sneezing, sore throat, watery eyes, low fever, cough"
Dehydration,"thirst, dizziness, dry mouth, confusion, dark urine, headache"
Minor Sprain/Strain,"tenderness, limited range of motion, localized pain, swelling"
Allergic Rhinitis,"watery eyes, itchy eyes, cough, runny nose, sore throat, sneezing"
Bacterial Pneumonia,"shaking chills, high fever, shortness of breath, sweating, confusion, chest pain"
Gastroenteritis,"vomiting, abdominal cramps, nausea"
Migraine,"sensitivity to sound, nausea, severe throbbing headache, neck pain, sensitivity to light, aura"
Seasonal Flu,"diarrhea, chills, severe body aches, high fever, headache"
Dehydration,"dry mouth, fatigue, thirst, dizziness"
Allergic Rhinitis,"sneezing, watery eyes, itchy eyes, runny nose, mild headache"
Strep Throat,"tiny red spots on roof of mouth, fever, pain when swallowing, sudden sore throat"
Bacterial Pneumonia,"sweating, shortness of breath, high fever, chest pain"
Common Cold,"sneezing, cough, sore throat"
Bacterial Pneumonia,"fatigue, shortness of breath, sweating, chest pain, productive cough, shaking chills, high fever"
Gastroenteritis,"vomiting, abdominal cramps, diarrhea"
Seasonal Flu,"diarrhea, cough, nausea, high fever, severe body aches, chills"
Dehydration,"dry mouth, thirst, dizziness, fatigue"
Strep Throat,"body aches, sudden sore throat, tiny red spots on roof of mouth, fever, headache, stomach ache, pain when swallowing"
Strep Throat,"tiny red spots on roof of mouth, sudden sore throat, pain when swallowing, fever"
Strep Throat,"tiny red spots on roof of mouth, sudden sore throat, headache, pain when swallowing"
Allergic Rhinitis,"runny nose, sneezing, watery eyes, itchy eyes"
Allergic Rhinitis,"watery eyes, sneezing, mild headache, runny nose"
Migraine,"sensitivity to light, sensitivity to sound, nausea, severe throbbing headache"
Migraine,"vision changes, severe throbbing headache, nausea, sensitivity to sound"
Common Cold,"runny nose, cough, mild headache, sneezing"
Seasonal Flu,"headache, chills, fatigue, high fever, severe body aches"
Allergic Rhinitis,"watery eyes, sneezing, runny nose, itchy eyes"
Common Cold,"sore throat, runny nose, mild headache, low fever, fatigue, cough, sneezing"
Strep Throat,"sudden sore throat, pain when swallowing, tiny red spots on roof of mouth, fever"
Minor Sprain/Strain,"tenderness, limited range of motion, localized pain"
Dehydration,"dizziness, dry mouth, dark urine, fatigue"
Strep Throat,"pain when swallowing, tiny red spots on roof of mouth, sudden sore throat"
Dehydration,"dry mouth, fatigue, dizziness, thirst"
Minor Sprain/Strain,"bruising, muscle stiffness, limited range of motion, localized pain, tenderness"
Tension Headache,"scalp tenderness, dull, aching head pain, tightness across forehead"
Gastroenteritis,"nausea, abdominal cramps, diarrhea, vomiting, loss of appetite, headache, fatigue"
Seasonal Flu,"severe body aches, fatigue, chills, headache"
Seasonal Flu,"chills, headache, diarrhea, nausea, high fever"
Common Cold,"sore throat, runny nose, cough, fatigue, sneezing, mild headache"
Minor Sprain/Strain,"localized pain, bruising, tenderness, muscle stiffness, limited range of motion, swelling"
Seasonal Flu,"chills, severe body aches, high fever, diarrhea"
Seasonal Flu,"fatigue, severe body aches, high fever, headache"
Dehydration,"confusion, dry mouth, dizziness, fatigue"
Bacterial Pneumonia,"productive cough, nausea, shaking chills, chest pain, shortness of breath"
Bacterial Pneumonia,"high fever, shaking chills, productive cough, shortness of breath"
Common Cold,"low fever, runny nose, cough, sneezing, sore throat"
Bacterial Pneumonia,"shortness of breath, productive cough, shaking chills, sweating"
Bacterial Pneumonia,"fatigue, sweating, high fever, productive cough, chest pain, shortness of breath"
Migraine,"sensitivity to sound, nausea, neck pain, severe throbbing headache"
Bacterial Pneumonia,"nausea, shaking chills, shortness of breath, chest pain, high fever"
Bacterial Pneumonia,"chest pain, high fever, productive cough, shortness of breath, shaking chills"
Dehydration,"thirst, dizziness, fatigue"
Seasonal Flu,"sore throat, high fever, severe body aches, headache, nausea, chills"
Seasonal Flu,"severe body aches, chills, nausea, diarrhea, headache, sore throat"
Common Cold,"low fever, sore throat, cough, runny nose"
Bacterial Pneumonia,"chest pain, high fever, sweating, shortness of breath, shaking chills, productive cough"
Common Cold,"watery eyes, sore throat, cough, runny nose, sneezing"
Gastroenteritis,"nausea, abdominal cramps, low-grade fever, diarrhea, loss of appetite, vomiting"
Bacterial Pneumonia,"shortness of breath, confusion, productive cough, high fever, chest pain"
Minor Sprain/Strain,"muscle stiffness, swelling, cramping, limited range of motion, localized pain"
Migraine,"severe throbbing headache, nausea, neck pain, vision changes, sensitivity to sound"
Gastroenteritis,"diarrhea, abdominal cramps, vomiting"
Seasonal Flu,"chills, fatigue, cough, nausea, headache, high fever"
Migraine,"severe throbbing headache, sensitivity to sound, sensitivity to light, aura, nausea"
Minor Sprain/Strain,"localized pain, swelling, tenderness"
Minor Sprain/Strain,"limited range of motion, muscle stiffness, swelling, tenderness"
Common Cold,"sneezing, low fever, fatigue, sore throat, runny nose"
Seasonal Flu,"sore throat, fatigue, high fever, severe body aches"
Strep Throat,"pain when swallowing, body aches, tiny red spots on roof of mouth, fever, rash, sudden sore throat"
Bacterial Pneumonia,"shortness of breath, shaking chills, fatigue, high fever"
Common Cold,"low fever, mild headache, sore throat, sneezing, cough, runny nose"
Dehydration,"dark urine, headache, thirst, fatigue, dizziness, dry mouth, infrequent urination"
Bacterial Pneumonia,"shaking chills, high fever, confusion, chest pain, productive cough, sweating, shortness of breath"
Common Cold,"runny nose, sneezing, cough, sore throat"
Allergic Rhinitis,"runny nose, watery eyes, sneezing"
Minor Sprain/Strain,"tenderness, localized pain, muscle stiffness, swelling"
Strep Throat,"fever, pain when swallowing, sudden sore throat, rash, tiny red spots on roof of mouth"
Tension Headache,"scalp tenderness, shoulder pain, dull, aching head pain, neck stiffness, tightness across forehead"
Strep Throat,"sudden sore throat, headache, rash, pain when swallowing, body aches, fever"
Strep Throat,"tiny red spots on roof of mouth, body aches, headache, stomach ache, fever, pain when swallowing"
Gastroenteritis,"abdominal cramps, fatigue, loss of appetite, nausea, diarrhea, low-grade fever"
Seasonal Flu,"fatigue, headache, severe body aches, high fever, chills"
Seasonal Flu,"severe body aches, high fever, chills"
Common Cold,"runny nose, sneezing, sore throat, cough, mild headache, watery eyes"
Migraine,"sensitivity to sound, aura, nausea, neck pain, sensitivity to light, vision changes, severe throbbing headache"
Bacterial Pneumonia,"chest pain, shortness of breath, shaking chills, productive cough"
Common Cold,"fatigue, sneezing, watery eyes, low fever, runny nose, sore throat"
Migraine,"vomiting, nausea, sensitivity to light, aura, vision changes, sensitivity to sound"
Allergic Rhinitis,"sneezing, nasal congestion, watery eyes, runny nose, itchy eyes, cough"
Tension Headache,"tightness across forehead, scalp tenderness, dull, aching head pain"
Common Cold,"cough, runny nose, sneezing, sore throat"
Bacterial Pneumonia,"high fever, shortness of breath, productive cough"
Seasonal Flu,"headache, severe body aches, fatigue, diarrhea, chills, sore throat, cough"
Allergic Rhinitis,"sneezing, sore throat, mild headache, cough, itchy eyes, watery eyes"
Minor Sprain/Strain,"limited range of motion, tenderness, swelling, localized pain"
Common Cold,"cough, sneezing, sore throat, runny nose"
Dehydration,"dizziness, fatigue, dry mouth"
Migraine,"sensitivity to sound, nausea, severe throbbing headache, neck pain"
Migraine,"aura, sensitivity to sound, nausea, severe throbbing headache, vision changes, sensitivity to light"
Dehydration,"thirst, dizziness, dry mouth, headache"
Gastroenteritis,"headache, nausea, diarrhea, abdominal cramps"
Migraine,"aura, vision changes, nausea, sensitivity to light, sensitivity to sound"
Strep Throat,"fever, sudden sore throat, headache, body aches, tiny red spots on roof of mouth"
Strep Throat,"rash, headache, sudden sore throat, fever, tiny red spots on roof of mouth, pain when swallowing"
Dehydration,"fatigue, headache, infrequent urination, confusion, dry mouth, dizziness"
Tension Headache,"shoulder pain, neck stiffness, scalp tenderness, dull, aching head pain, tightness across forehead"
Strep Throat,"pain when swallowing, fever, sudden sore throat, tiny red spots on roof of mouth"
Minor Sprain/Strain,"cramping, tenderness, muscle stiffness, swelling, limited range of motion, bruising, localized pain"
Common Cold,"sneezing, runny nose, mild headache, cough"
Dehydration,"headache, fatigue, infrequent urination, dry mouth, dark urine, thirst"
Migraine,"aura, severe throbbing headache, sensitivity to sound, neck pain, sensitivity to light, nausea"
Minor Sprain/Strain,"cramping, tenderness, swelling, localized pain"
Allergic Rhinitis,"nasal congestion, watery eyes, sneezing, itchy eyes, cough, mild headache"
Gastroenteritis,"diarrhea, abdominal cramps, loss of appetite, nausea, vomiting, headache, low-grade fever"
Migraine,"sensitivity to light, sensitivity to sound, nausea"
Common Cold,"low fever, sore throat, watery eyes, sneezing, cough, runny nose"
Gastroenteritis,"diarrhea, abdominal cramps, headache, nausea, vomiting"
Gastroenteritis,"diarrhea, loss of appetite, abdominal cramps, vomiting, nausea, fatigue"
Seasonal Flu,"headache, fatigue, cough, sore throat, severe body aches"
Migraine,"sensitivity to light, sensitivity to sound, nausea, severe throbbing headache"
Allergic Rhinitis,"itchy eyes, watery eyes, nasal congestion, runny nose, mild headache, sneezing"
Tension Headache,"tightness across forehead, scalp tenderness, dull, aching head pain, shoulder pain"
Allergic Rhinitis,"itchy eyes, runny nose, sneezing"
Common Cold,"sneezing, sore throat, low fever, runny nose, watery eyes"
Allergic Rhinitis,"sneezing, itchy eyes, runny nose, sore throat, mild headache"
Seasonal Flu,"cough, fatigue, sore throat, chills, headache, severe body aches, high fever, diarrhea"
Allergic Rhinitis,"watery eyes, nasal congestion, cough, sore throat, runny nose, sneezing"
Common Cold,"cough, sneezing, sore throat"
Seasonal Flu,"severe body aches, headache, sore throat, cough, fatigue, high fever"
Bacterial Pneumonia,"nausea, productive cough, shaking chills, fatigue, confusion, high fever"
Common Cold,"watery eyes, sore throat, mild headache, runny nose, cough, sneezing, fatigue"
Seasonal Flu,"chills, nausea, headache, fatigue, severe body aches, high fever, cough"
Common Cold,"sore throat, cough, sneezing"
Gastroenteritis,"abdominal cramps, low-grade fever, headache, vomiting, diarrhea, nausea, fatigue"
Gastroenteritis,"vomiting, abdominal cramps, low-grade fever, diarrhea, nausea"
Allergic Rhinitis,"runny nose, itchy eyes, sneezing, cough, watery eyes, mild headache"
Allergic Rhinitis,"sneezing, nasal congestion, watery eyes, runny nose, mild headache"
Migraine,"nausea, severe throbbing headache, vision changes, sensitivity to sound, sensitivity to light"
Gastroenteritis,"nausea, headache, vomiting, diarrhea, abdominal cramps"
Seasonal Flu,"diarrhea, fatigue, high fever, severe body aches, chills, headache, nausea"
Tension Headache,"tightness across forehead, mild sensitivity to light, dull, aching head pain, scalp tenderness, neck stiffness"
Minor Sprain/Strain,"swelling, tenderness, limited range of motion"
Minor Sprain/Strain,"swelling, tenderness, cramping, localized pain"
Minor Sprain/Strain,"localized pain, tenderness, limited range of motion, cramping"
Bacterial Pneumonia,"productive cough, high fever, confusion, shaking chills, chest pain, shortness of breath, fatigue, nausea"
Gastroenteritis,"nausea, abdominal cramps, diarrhea, loss of appetite, headache, vomiting"
Minor Sprain/Strain,"limited range of motion, bruising, tenderness, muscle stiffness, swelling"
Allergic Rhinitis,"runny nose, cough, sneezing, itchy eyes, watery eyes"
Tension Headache,"tightness across forehead, shoulder pain, scalp tenderness, dull, aching head pain"
Strep Throat,"sudden sore throat, rash, pain when swallowing, fever"
Minor Sprain/Strain,"limited range of motion, bruising, cramping, swelling, muscle stiffness, localized pain, tenderness"
Strep Throat,"pain when swallowing, tiny red spots on roof of mouth, fever, sudden sore throat"
Minor Sprain/Strain,"tenderness, swelling, localized pain"
Dehydration,"dry mouth, dizziness, fatigue"
Allergic Rhinitis,"runny nose, watery eyes, nasal congestion, itchy eyes, sore throat, sneezing, mild headache"
Tension Headache,"tightness across forehead, dull, aching head pain, scalp tenderness"
Allergic Rhinitis,"runny nose, itchy eyes, watery eyes"
Minor Sprain/Strain,"limited range of motion, localized pain, muscle stiffness, bruising, tenderness, swelling"
Bacterial Pneumonia,"productive cough, nausea, shaking chills, fatigue, high fever, sweating"
Migraine,"vomiting, aura, nausea, sensitivity to sound, neck pain, severe throbbing headache"
Tension Headache,"dull, aching head pain, tightness across forehead, scalp tenderness"
Tension Headache,"dull, aching head pain, scalp tenderness, neck stiffness, shoulder pain, tightness across forehead"
Tension Headache,"dull, aching head pain, shoulder pain, tightness across forehead, mild sensitivity to light, scalp tenderness, neck stiffness"
Dehydration,"fatigue, dizziness, dry mouth, thirst, confusion, dark urine"
Tension Headache,"scalp tenderness, dull, aching head pain, tightness across forehead, mild sensitivity to light"
Common Cold,"cough, sneezing, watery eyes, low fever, mild headache, sore throat"
Allergic Rhinitis,"sneezing, itchy eyes, watery eyes, runny nose"
Strep Throat,"stomach ache, sudden sore throat, pain when swallowing, tiny red spots on roof of mouth"
Bacterial Pneumonia,"shaking chills, chest pain, nausea, high fever, shortness of breath, productive cough, fatigue, confusion"
Allergic Rhinitis,"itchy eyes, mild headache, watery eyes, sore throat, runny nose"
Gastroenteritis,"headache, nausea, abdominal cramps, low-grade fever, diarrhea"
Tension Headache,"dull, aching head pain, tightness across forehead, scalp tenderness"
Allergic Rhinitis,"runny nose, cough, itchy eyes, sore throat, sneezing"
